Episodes	Epsilon	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
610	0.1	-88.11104	36.370464	-26.880041	-139.43762	856.6	178121	637.8106760978699
620	0.1	-63.281944	93.8386	104.80585	-180.96753	918.8	187309	674.0596010684967
630	0.1	-48.83438	48.657803	54.16048	-132.88419	596.9	193278	702.1818902492523
640	0.1	-2.378198	60.74609	157.04405	-75.74512	272.6	196004	711.9231948852539
650	0.1	-24.148342	16.48916	0.027642744	-56.71447	303.3	199037	723.2077052593231
660	0.1	-57.35631	33.62587	-6.916773	-114.04158	208.1	201118	727.7807087898254
670	0.1	-60.418438	31.767014	14.497576	-106.78908	176.9	202887	732.0415058135986
680	0.1	-60.44398	28.87336	-3.5013688	-104.11186	188.9	204776	737.4327011108398
690	0.1	-30.301306	84.38517	183.0752	-133.50851	228.8	207064	744.1527490615845
700	0.1	-59.496082	38.42994	-19.704609	-132.95761	198.6	209050	748.7513086795807
