Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
10	-242.36858	135.78569	29.827864	-404.11932	178.0	1779	0.2	5.047309160232544
20	-370.9733	139.12614	-140.95003	-556.44977	199.4	3773	0.2	10.99569296836853
30	-350.60004	165.11206	-142.86646	-649.324	219.7	5970	0.4	17.797826528549194
40	-305.97803	148.70613	-52.699623	-528.8744	263.1	8601	0.4	26.001882076263428
50	-268.93872	194.68423	4.5741553	-726.269	512.0	13721	0.6000000000000001	44.53559756278992
60	-162.99194	71.77005	-59.40387	-328.6066	578.8	19509	0.8	65.36786460876465
70	-131.05576	48.493637	-33.468365	-184.91756	717.4	26683	1.2	91.34195041656494
80	-106.74217	79.27949	33.504215	-204.50096	623.4	32917	1.4	112.68704271316528
90	-69.09304	99.21974	168.23907	-184.16441	785.4	40771	1.7999999999999998	139.99394822120667
100	-112.22688	95.9308	25.862896	-287.19275	615.9	46930	1.9999999999999998	161.79086327552795
110	-82.27074	36.29579	-7.9078364	-145.56198	915.9	56089	2.4	194.51079082489014
120	-36.01282	128.70753	59.89762	-394.04343	674.5	62834	2.6	218.28732252120972
130	-74.26149	110.03076	85.646805	-213.5092	619.1	69025	2.8000000000000003	239.85884165763855
140	9.670734	53.770523	91.3019	-110.9512	511.2	74137	3.0000000000000004	256.8948690891266
150	-2.6316772	98.587036	105.28935	-147.88342	491.1	79048	3.2000000000000006	274.55211877822876
160	-39.25109	124.16594	83.03316	-298.1464	547.1	84519	3.400000000000001	294.0889856815338
170	47.01543	38.244724	92.38687	-19.164919	405.8	88577	3.600000000000001	307.84619903564453
180	21.071632	69.30277	108.419174	-137.18916	473.8	93315	3.800000000000001	324.6605575084686
190	16.849117	59.325626	104.3632	-61.0457	631.0	99625	4.000000000000001	348.703245639801
200	17.463428	84.861176	106.49473	-141.98447	240.1	102026	4.200000000000001	356.3926405906677
210	13.208132	93.02139	129.16777	-150.72574	457.1	106597	4.400000000000001	372.4857084751129
220	14.676188	111.81079	122.53988	-223.50574	485.5	111452	4.600000000000001	390.2540397644043
230	-13.254802	104.49781	136.44398	-161.82915	182.4	113276	4.600000000000001	395.6534719467163
240	-16.141996	118.90399	118.16285	-200.08322	223.4	115510	4.800000000000002	403.1946966648102
250	-16.030626	79.269226	130.22452	-156.72559	265.1	118161	4.800000000000002	413.2348823547363
260	-66.85364	73.395386	18.325909	-191.72827	355.1	121712	5.000000000000002	428.0165421962738
270	-80.453995	92.74227	116.4526	-183.58882	175.3	123465	5.000000000000002	434.01539063453674
280	-48.051346	124.33361	133.95778	-185.95378	192.5	125390	5.200000000000002	441.33317136764526
290	-82.87886	110.98304	147.73248	-214.41254	260.2	127992	5.200000000000002	451.6625623703003
300	-71.76228	116.77498	150.05461	-265.03455	345.5	131447	5.400000000000002	466.31273889541626
310	-28.910604	92.974	120.57516	-205.2767	180.7	133254	5.400000000000002	472.391401052475
320	-48.87615	82.97289	65.154655	-210.09132	272.1	135975	5.600000000000002	481.91335892677307
330	-71.981094	104.327	116.55535	-218.38702	362.3	139598	5.600000000000002	494.45421409606934
340	-66.19076	92.77154	139.14696	-196.77864	316.0	142758	5.8000000000000025	505.2497065067291
350	-27.283972	111.419304	147.2325	-174.28206	253.8	145296	6.000000000000003	514.0118913650513
360	-99.565216	73.16579	8.792165	-201.68312	160.6	146902	6.000000000000003	518.908839225769
370	-111.71676	151.6242	164.91368	-347.98013	210.2	149004	6.000000000000003	525.5116510391235
380	-98.17729	113.73949	165.04967	-206.57582	238.5	151389	6.200000000000003	533.6509690284729
390	-107.04187	103.01719	139.9258	-205.99051	231.5	153704	6.200000000000003	541.249972820282
400	-137.47345	112.577324	12.936981	-340.2664	290.6	156610	6.400000000000003	551.7693490982056
410	-120.91386	61.316837	-26.457153	-213.63834	237.5	158985	6.400000000000003	559.4199347496033
420	-51.845325	83.09402	135.26144	-187.67607	454.1	163526	6.600000000000003	577.0522513389587
430	-26.555634	119.78596	173.39088	-239.13635	318.4	166710	6.800000000000003	588.3793675899506
440	-18.20346	119.8061	137.97821	-168.10117	221.6	168926	6.800000000000003	595.1107366085052
450	-99.27987	98.82275	97.69619	-212.94049	290.6	171832	7.0000000000000036	605.4852659702301
460	-27.634027	125.35965	162.15395	-192.63492	313.2	174964	7.0000000000000036	615.8694548606873
470	-25.461308	125.62837	145.5824	-232.6561	378.0	178744	7.200000000000004	629.4364144802094
480	-110.33516	79.564705	-4.88553	-246.78699	265.0	181394	7.400000000000004	639.232330083847
490	-55.03736	144.04805	157.89217	-222.44597	283.2	184226	7.400000000000004	648.9756276607513
500	-52.66275	92.73222	136.01668	-196.16554	255.8	186784	7.800000000000004	658.8179008960724
510	-104.445946	147.7972	205.64514	-241.67961	202.6	188810	7.800000000000004	665.4162936210632
520	-8.702597	125.72531	152.4875	-178.18863	420.3	193013	8.000000000000004	680.6988077163696
530	-103.22197	121.66187	59.929764	-325.68875	225.5	195268	8.200000000000003	688.4609842300415
540	6.4582725	126.79791	173.20398	-193.24251	302.6	198294	8.200000000000003	698.6071481704712
550	27.765003	168.68463	210.93068	-221.91423	266.1	200955	8.400000000000002	707.596400976181
560	-63.754253	106.92484	138.88608	-193.3149	275.5	203710	8.400000000000002	717.0209412574768
570	-31.603485	142.42569	179.02621	-208.67923	268.7	206397	8.600000000000001	726.2487044334412
580	66.77625	106.686966	189.59526	-159.36717	313.7	209534	8.600000000000001	736.6972408294678
590	28.043758	78.24864	144.68008	-93.12414	302.2	212556	8.8	747.6203877925873
600	-63.903088	240.32207	202.73343	-611.51483	196.4	214520	8.8	753.857691526413
610	-0.72928697	131.47786	151.20497	-226.4583	372.9	218249	9.0	767.1256473064423
620	-58.064667	180.91644	232.34196	-286.77917	231.7	220566	9.2	775.7109706401825
630	-9.616254	150.14894	223.94449	-229.59595	226.1	222827	9.2	783.1961102485657
640	-56.724632	128.79501	179.2559	-204.32129	209.6	224923	9.2	789.9811968803406
650	-24.87113	137.17761	196.29752	-213.21158	278.1	227704	9.399999999999999	800.1112682819366
660	-58.936756	131.90256	167.94595	-246.65361	226.6	229970	9.399999999999999	807.4368419647217
670	-56.938484	146.79869	181.39737	-175.49628	155.9	231529	9.599999999999998	812.6719055175781
680	-40.031982	132.6338	211.65297	-214.26686	224.6	233775	9.599999999999998	819.6841156482697
690	-128.54836	134.08405	232.31511	-290.37668	150.0	235275	9.799999999999997	824.8177125453949
700	-36.51256	148.12201	189.79211	-208.11946	155.7	236832	9.799999999999997	829.8367166519165
