Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
10	-370.93805	211.479	-59.57752	-831.91705	324.4	3243	0.2	10.294233798980713
20	-238.8385	66.30237	-104.00272	-309.81662	201.2	5255	0.2	15.285242557525635
30	-111.22667	49.177124	-46.12522	-205.15479	142.6	6681	0.2	18.661367177963257
40	-217.85625	118.69081	-36.098366	-393.99152	315.3	9834	0.2	28.036235332489014
50	-149.40819	71.48211	-11.265712	-310.25775	664.5	16479	0.2	51.58571982383728
60	-153.97395	114.72472	132.12494	-291.56345	503.5	21514	0.2	67.49251532554626
70	-138.62872	92.02089	10.22877	-228.74916	526.2	26776	0.2	83.36895728111267
80	-124.80174	154.75015	152.42078	-456.01715	647.6	33252	0.2	104.74160289764404
90	-107.22611	78.0248	96.74129	-185.62541	521.9	38471	0.2	121.41464567184448
100	-79.4615	75.70562	22.2052	-222.51599	685.2	45323	0.2	144.62755584716797
110	-44.456722	167.06787	170.81128	-426.848	759.1	52914	0.4	169.94747710227966
120	-100.11456	208.51833	140.43568	-581.9947	826.2	61176	0.4	198.27894115447998
130	32.117912	94.18404	212.27748	-98.20574	583.6	67012	0.4	217.26835107803345
140	56.50703	136.80751	209.75789	-156.22327	521.3	72225	0.4	233.82580399513245
150	34.07098	131.7308	208.75876	-127.4684	580.1	78026	0.4	252.91202855110168
160	60.03604	121.23335	188.54213	-184.29567	885.2	86878	0.4	285.0081593990326
170	42.638256	112.85656	170.25273	-185.78568	886.4	95742	0.4	316.75541591644287
180	138.62154	64.31693	230.04765	40.419884	817.7	103919	0.6000000000000001	349.5469493865967
190	109.6418	94.64294	208.80566	-89.7627	757.9	111498	0.6000000000000001	378.0289294719696
200	111.49465	72.29218	205.17395	-4.799824	715.6	118654	0.6000000000000001	403.1566307544708
210	140.5419	111.4498	228.41188	-78.53668	697.3	125627	0.6000000000000001	427.06722688674927
220	124.71787	103.2936	236.34984	-64.5926	790.1	133528	0.6000000000000001	454.48344802856445
230	14.309415	87.99397	201.59222	-77.03534	863.8	142166	0.6000000000000001	486.5351860523224
240	65.83636	92.90555	236.34448	-72.40712	915.6	151322	0.8	520.1874299049377
250	166.90842	85.55811	242.38077	-39.68834	625.5	157577	0.8	541.5710692405701
260	97.21302	126.972534	233.28468	-81.25938	523.9	162816	0.8	559.7562680244446
270	110.0367	90.84139	238.11653	-60.841434	647.5	169291	0.8	583.2780151367188
280	154.44048	73.605675	244.26244	-13.059062	751.1	176802	0.8	611.1872842311859
290	160.66202	104.19401	250.99532	-64.70333	481.8	181620	0.8	626.3502883911133
300	145.66049	137.64438	251.86784	-134.45708	429.2	185912	0.8	639.6786727905273
310	141.26093	76.27604	250.51717	-32.102974	616.8	192080	0.8	660.1721203327179
320	115.58577	117.14082	254.63177	-79.923294	649.6	198576	0.8	681.7346546649933
330	189.12808	79.24923	262.4911	-7.671254	495.3	203529	1.0	697.9721872806549
340	188.22423	69.42368	266.28717	37.532158	604.5	209574	1.0	718.0969295501709
350	160.82405	72.30032	256.7217	13.2468815	804.5	217619	1.0	746.9387428760529
360	166.9713	118.692726	264.4745	-54.47079	480.8	222427	1.0	763.0663523674011
370	159.7958	90.08059	273.22687	-7.9304357	710.2	229529	1.0	789.8931574821472
380	195.1061	79.45951	262.88397	3.7642095	533.0	234859	1.0	809.0618135929108
390	111.341064	157.30502	261.20618	-204.36809	463.3	239492	1.0	825.9703919887543
400	171.11653	114.48355	268.1592	-49.64126	503.7	244529	1.0	843.1269118785858
410	136.96805	110.86378	280.08588	-34.25786	497.0	249499	1.0	859.5930008888245
