Episodes	Epsilon	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
10	0.01	-227.26633	235.9399	-110.99496	-924.3545	83.1	830	1.693485975265503
20	0.01	-140.38208	41.4511	-37.025715	-196.48607	71.1	1541	3.0048828125
30	0.01	-144.01888	64.662834	-13.870006	-218.1174	66.4	2205	4.383439779281616
40	0.01	-206.58994	75.12004	-113.56101	-355.99454	79.0	2995	10.329467535018921
50	0.01	-164.82785	91.45416	-54.510174	-376.68808	128.3	4278	18.530171155929565
60	0.01	-182.67827	81.59965	-92.8964	-371.62573	212.0	6398	31.460612535476685
70	0.01	-179.02798	46.647514	-112.624756	-259.93958	581.5	12213	57.59015607833862
80	0.01	-167.54408	27.525133	-134.1256	-224.11621	488.5	17098	77.83867168426514
90	0.01	-174.772	33.657944	-125.84963	-240.42137	440.9	21507	91.90993642807007
100	0.01	-141.35056	25.068523	-99.51808	-173.57304	401.3	25520	102.36194157600403
110	0.01	-133.64247	44.82426	-39.665573	-205.66069	394.4	29464	114.11218309402466
120	0.01	-141.48628	68.35307	-54.84662	-287.6483	181.3	31277	118.83538055419922
130	0.01	-129.37802	31.256054	-90.74665	-184.17245	284.7	34124	126.74305176734924
140	0.01	-126.56102	43.64421	-45.47823	-226.63	893.5	43059	156.86756348609924
150	0.01	-131.4581	38.905136	-64.3875	-195.87022	985.2	52911	194.12396717071533
160	0.01	-76.62945	44.15197	-21.356108	-185.29	963.3	62544	229.96464896202087
170	0.01	-72.13043	41.58886	-30.26369	-179.95207	959.6	72140	268.8710718154907
180	0.01	-64.84261	28.680807	-26.130468	-114.97498	1000.0	82140	304.2829897403717
190	0.01	-60.079323	21.083508	-15.412516	-91.53806	1000.0	92140	339.09616780281067
200	0.01	-29.921078	21.9643	8.035338	-60.832523	1000.0	102140	381.21213579177856
210	0.01	-39.398857	16.275818	-12.555899	-60.13873	1000.0	112140	417.8518443107605
220	0.01	-46.772644	19.732615	-18.868711	-82.93279	1000.0	122140	454.69457149505615
230	0.01	-45.35821	15.429708	-20.608448	-65.12382	1000.0	132140	491.95680975914
240	0.01	-56.888397	36.128956	-11.38476	-130.19347	914.5	141285	525.7238867282867
250	0.01	-45.630074	37.799324	-5.0472994	-142.92952	943.9	150724	560.9741809368134
260	0.01	-22.87701	21.007328	10.95415	-58.115795	1000.0	160724	597.9858334064484
270	0.01	-33.60073	99.78905	114.68901	-300.47287	959.6	170320	634.3343796730042
280	0.01	-50.477448	28.821941	-14.512679	-106.865395	955.2	179872	668.2423098087311
290	0.01	-84.81102	24.505085	-49.580116	-122.243225	1000.0	189872	705.3787324428558
300	0.01	-60.149803	26.568632	-4.9796677	-86.68297	1000.0	199872	742.9521656036377
310	0.01	-32.637276	25.719166	8.927416	-69.611145	1000.0	209872	781.0263538360596
320	0.01	-11.393916	19.62885	13.479668	-39.239708	1000.0	219872	820.5526721477509
330	0.01	-38.87189	48.085384	40.134995	-150.3445	981.6	229688	859.7707741260529
340	0.01	-34.584858	26.028381	24.095774	-71.84851	1000.0	239688	903.783474445343
350	0.01	-25.029219	24.635931	9.803897	-56.234142	961.9	249307	940.6783905029297
360	0.01	-25.582287	22.585451	14.077799	-59.252895	1000.0	259307	977.892660856247
370	0.01	-15.55242	19.301329	5.462014	-56.966125	1000.0	269307	1016.7506034374237
380	0.01	-18.8407	18.8663	3.6917953	-51.171116	1000.0	279307	1053.8050518035889
390	0.01	-12.765303	21.160608	18.226065	-49.08927	1000.0	289307	1092.839557647705
400	0.01	-0.48308676	11.632026	19.04923	-17.37622	1000.0	299307	1131.247987985611
410	0.01	-8.848509	23.944746	14.832173	-67.95544	968.3	308990	1166.7768042087555
420	0.01	-30.736195	48.42894	12.548688	-124.63377	926.7	318257	1200.6509099006653
430	0.01	-18.812197	34.504387	29.912325	-79.51189	926.0	327517	1235.067464351654
440	0.01	-16.203306	37.37099	30.105255	-106.8485	924.6	336763	1270.381377696991
450	0.01	0.09918976	22.74383	25.511824	-57.38	1000.0	346763	1309.7096467018127
460	0.01	10.4369755	15.887265	29.754593	-22.549774	1000.0	356763	1347.2302949428558
470	0.01	0.83177966	21.478884	35.144505	-35.30775	1000.0	366763	1386.2924094200134
480	0.01	3.6487782	19.996141	34.92554	-26.870384	1000.0	376763	1425.1135833263397
490	0.01	6.6678686	20.456053	41.106697	-20.612852	1000.0	386763	1464.0876424312592
500	0.01	-13.094953	16.943624	10.440116	-42.39195	1000.0	396763	1505.7212028503418
510	0.01	-8.970094	19.21049	25.95163	-49.555176	1000.0	406763	1543.3223659992218
520	0.01	4.3210874	19.746635	26.474277	-36.264904	1000.0	416763	1583.1169078350067
530	0.01	38.97941	82.670425	241.02733	-30.820795	952.1	426284	1621.627833366394
540	0.01	36.24964	48.706287	142.24986	-7.529138	983.4	436118	1658.7186014652252
550	0.01	22.509754	74.0419	164.64355	-60.453766	988.2	446000	1697.340116739273
560	0.01	93.27482	79.51696	193.72691	-16.147058	921.0	455210	1731.3959856033325
570	0.01	142.18433	111.28565	242.44916	-76.81013	746.5	462675	1757.0005090236664
580	0.01	191.42542	39.433838	268.13202	158.90611	676.9	469444	1779.408618927002
590	0.01	196.04164	29.569061	246.82869	150.9662	662.9	476073	1801.8424031734467
600	0.01	144.09903	67.33254	199.92851	11.713503	851.6	484589	1832.7278368473053
610	0.01	84.003525	81.52322	202.5851	-11.7076235	891.8	493507	1865.4195051193237
