Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
10	-335.74728	183.74557	-122.60532	-699.16534	179.9	1798	0.2	4.096791505813599
20	-297.18146	162.49577	-128.09314	-578.0612	179.8	3596	0.2	8.042022466659546
30	-255.52551	108.60276	-109.35199	-424.89975	171.8	5314	0.4	12.85133409500122
40	-223.06754	134.62157	0.013073162	-485.70297	396.8	9282	0.4	24.969654321670532
50	-115.049515	34.4348	-63.632668	-173.9769	762.8	16910	0.8	49.75446701049805
60	-52.676838	30.716848	4.0561647	-100.914764	909.1	26001	1.2	78.07899522781372
70	-59.601147	107.4194	186.88771	-196.98798	641.4	32415	1.4	98.87341570854187
80	-108.66138	118.49082	165.23439	-240.93231	510.9	37524	1.5999999999999999	112.499840259552
90	-0.578859	144.84798	187.98541	-190.29787	727.7	44801	1.7999999999999998	135.0292809009552
100	-9.826127	78.146126	160.79129	-141.97133	966.1	54462	2.1999999999999997	166.83710265159607
110	-28.875504	76.35673	115.80048	-133.27809	877.7	63239	2.6	193.97543048858643
120	-12.461926	129.73833	168.3323	-214.22719	684.7	70086	3.0000000000000004	216.16658759117126
130	38.046204	137.42233	239.08948	-238.905	721.3	77299	3.2000000000000006	238.1482605934143
140	80.69493	100.27403	220.59628	-74.573235	700.9	84308	3.400000000000001	260.7109544277191
150	-21.229198	256.10413	225.84494	-717.1301	467.0	88978	3.600000000000001	274.8857355117798
160	-6.6649027	119.74017	247.81386	-96.0226	296.9	91947	3.800000000000001	283.0704526901245
170	37.281975	131.99013	237.93248	-103.788635	377.0	95717	4.000000000000001	296.7403492927551
180	163.53117	78.99143	262.00354	-31.535952	587.6	101593	4.200000000000001	317.6617634296417
190	58.688526	183.0751	240.2592	-355.8107	421.5	105808	4.400000000000001	330.25720834732056
200	97.16	123.78454	236.87276	-71.7547	337.4	109182	4.400000000000001	340.1319851875305
210	114.56029	97.4319	198.5919	-113.37227	614.1	115323	4.800000000000002	361.69534850120544
220	143.62349	125.66257	260.74893	-72.397606	330.5	118628	4.800000000000002	372.3601837158203
230	99.153915	131.24814	254.57526	-61.441074	273.4	121362	5.000000000000002	379.61584544181824
240	78.61963	127.495674	273.48178	-70.40727	243.9	123801	5.000000000000002	385.89298820495605
250	51.817993	181.30191	272.5122	-169.81209	318.3	126984	5.200000000000002	396.06809854507446
260	123.79686	154.8686	239.42625	-210.46854	309.3	130077	5.400000000000002	405.43841195106506
270	210.45523	80.318924	283.16357	-5.335567	309.4	133171	5.400000000000002	414.36633253097534
280	154.64165	113.981674	249.83986	-60.73939	243.4	135605	5.600000000000002	421.39207911491394
290	155.0264	111.870285	263.27628	-14.0457325	251.4	138119	5.600000000000002	428.94420623779297
300	127.454056	136.32513	256.6556	-73.01111	269.2	140811	5.8000000000000025	438.44794821739197
310	148.9517	119.79817	263.3129	-78.84183	286.8	143679	5.8000000000000025	447.07710576057434
320	234.34814	32.37615	269.69855	180.06424	320.4	146883	6.000000000000003	456.53146982192993
330	129.65285	172.07777	272.20337	-211.41838	319.1	150074	6.200000000000003	465.32698488235474
340	141.00633	122.62858	250.26532	-105.36302	261.9	152693	6.200000000000003	471.99061703681946
350	139.57236	142.02695	268.17828	-115.871796	301.0	155703	6.400000000000003	480.2146806716919
360	214.60811	97.69097	287.29785	10.761697	241.4	158117	6.400000000000003	486.5758948326111
370	172.27959	135.91002	278.83667	-169.01102	269.7	160814	6.600000000000003	493.95333456993103
380	150.49692	108.23222	267.90887	-19.945248	340.8	164222	6.600000000000003	504.9076497554779
390	238.34663	72.68712	297.67953	27.196596	254.3	166765	6.800000000000003	516.8591775894165
400	245.3355	21.548649	278.45477	211.72389	306.2	169827	6.800000000000003	526.4864284992218
410	254.50845	16.014814	287.39813	228.88448	249.9	172326	7.0000000000000036	535.9366121292114
420	225.97757	76.11027	286.9971	16.043869	262.0	174946	7.0000000000000036	544.2096924781799
430	204.42447	99.822334	282.09738	7.1508527	258.5	177531	7.200000000000004	552.6504974365234
440	171.03406	125.56996	290.7232	-33.08131	286.6	180397	7.400000000000004	560.6497895717621
450	181.93436	103.18402	291.68118	-26.062288	297.2	183369	7.400000000000004	568.6571364402771
460	120.87573	115.21632	280.22488	5.334668	195.5	185324	7.600000000000004	574.1747562885284
470	120.219925	121.73515	285.7254	3.3880496	187.2	187196	7.600000000000004	578.9966402053833
480	170.48767	118.24891	282.5955	19.197844	211.9	189315	7.600000000000004	584.6159200668335
490	165.5708	121.36958	286.34195	-19.948446	235.1	191666	7.800000000000004	591.5007381439209
500	149.38751	112.3449	282.68457	-13.135429	237.8	194044	7.800000000000004	597.7868235111237
510	135.50398	120.11532	304.32233	-9.421949	309.9	197143	8.000000000000004	608.2929770946503
520	165.01935	110.96524	271.78116	-21.691616	213.5	199278	8.000000000000004	614.0082976818085
530	77.967476	91.54452	253.65288	-14.606722	167.6	200954	8.200000000000003	619.3275058269501
540	71.44517	89.30798	256.00397	-5.570529	259.6	203550	8.200000000000003	626.5941731929779
550	173.20877	120.22556	287.74582	15.574071	218.2	205732	8.400000000000002	632.7761116027832
560	102.95254	119.78245	270.00186	-21.578312	210.1	207833	8.400000000000002	638.2445921897888
570	151.17288	122.89928	280.8081	-0.40547165	236.0	210193	8.600000000000001	644.8880906105042
580	111.56584	119.70195	265.3681	-39.99064	182.4	212017	8.600000000000001	649.6139099597931
590	135.00357	134.73161	299.13803	-37.61844	254.1	214558	8.600000000000001	656.3921370506287
600	97.78556	142.64575	260.2214	-194.27927	179.6	216354	8.8	661.420725107193
610	235.39331	63.477802	290.7638	62.11994	338.2	219736	8.8	670.904354095459
620	163.3459	119.78021	269.35712	-111.01715	320.4	222940	9.0	680.3892438411713
630	128.97491	136.50378	252.0519	-148.99611	283.8	225778	9.2	688.6533298492432
640	209.34273	48.711414	263.7604	99.92075	550.2	231280	9.399999999999999	707.3889889717102
650	103.55542	129.91687	256.2836	-191.05501	299.3	234273	9.399999999999999	715.430989742279
660	228.1625	67.30757	274.83923	37.872826	257.7	236850	9.599999999999998	722.8759031295776
670	205.66751	81.04104	295.25867	27.256857	371.6	240566	9.799999999999997	734.0368120670319
680	194.00632	105.59104	287.96286	19.11415	210.3	242669	9.799999999999997	739.4013838768005
690	200.07278	95.74062	282.57822	5.6675043	277.1	245440	9.999999999999996	747.7360000610352
700	128.9682	122.25882	274.16055	-12.051895	257.8	248018	9.999999999999996	754.7872135639191
