Episodes	Epsilon	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
550	0.1	-138.22336	104.307526	8.680532	-309.13788	826.2	213979	708.709554195404
560	0.1	-42.66406	76.127716	92.837074	-128.30112	764.0	221619	738.0926623344421
570	0.1	-44.621323	36.08702	9.972489	-103.37849	604.8	227667	761.2370166778564
580	0.1	-48.28537	42.088367	19.07173	-124.87434	543.0	233097	780.5731229782104
590	0.1	-53.162037	29.211842	-10.935313	-96.11912	654.7	239644	803.26575756073
600	0.1	-61.55133	34.031647	-7.0650883	-109.43651	755.8	247202	829.8785464763641
610	0.1	-57.65564	54.386032	43.80383	-133.23372	804.2	255244	857.9097599983215
620	0.1	-63.43821	58.885223	20.050602	-150.6534	740.8	262652	883.5904929637909
630	0.1	-70.5865	54.153835	15.375784	-157.29659	688.6	269538	907.9697518348694
640	0.1	-50.199203	34.328964	11.462026	-110.58645	513.9	274677	926.1551694869995
650	0.1	-57.524956	27.390455	-11.107516	-110.87622	454.2	279219	943.3544323444366
660	0.1	-69.72595	44.208324	-16.145758	-163.38554	649.0	285709	966.9181361198425
670	0.1	-71.16242	39.036907	-12.084044	-130.09811	656.4	292273	988.0093932151794
680	0.1	-50.216873	43.675343	-2.049573	-158.10266	555.3	297826	1006.3550381660461
690	0.1	-24.912619	47.162292	94.159904	-70.26098	419.4	302020	1020.0671935081482
700	0.1	-10.943294	55.300358	138.63786	-66.43331	458.1	306601	1035.2857115268707
710	0.1	-31.08562	59.59087	108.90943	-124.21773	458.5	311186	1050.0365343093872
720	0.1	-39.880142	43.58432	2.3882763	-148.88646	491.5	316101	1066.6862344741821
730	0.1	-53.467735	27.482225	-14.333111	-109.23269	635.3	322454	1089.9570779800415
740	0.1	-13.655258	36.077938	66.94881	-69.61053	423.4	326688	1104.81023645401
750	0.1	-35.338684	36.368828	29.510078	-111.90249	594.9	332637	1125.7839124202728
760	0.1	-16.713959	56.009323	95.78453	-121.527855	493.2	337569	1143.2992141246796
770	0.1	-55.533577	59.36519	41.01614	-142.77853	490.0	342469	1160.646543264389
780	0.1	-25.897892	29.53259	19.526436	-73.08651	619.4	348663	1183.3920469284058
