Episodes	Epsilon	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
10	0.974	-278.19226	128.77927	-115.021576	-489.57654	91.1	910	1.9536969661712646
20	0.9464	-207.68552	77.632675	-97.48421	-333.3434	96.6	1876	4.0109593868255615
30	0.9205428571428571	-260.8084	108.86008	-103.183556	-418.01923	90.5	2781	6.127950429916382
40	0.8962857142857144	-219.82597	76.6177	-26.512852	-325.50415	84.9	3630	8.060554265975952
50	0.8686857142857143	-182.8641	44.72402	-76.09599	-226.50099	96.6	4596	10.278132677078247
60	0.8372285714285714	-246.46365	102.48944	-143.54509	-463.9363	110.1	5697	12.853635311126709
70	0.8066571428571429	-153.13074	79.74135	1.2260494	-260.60034	107.0	6767	15.417152881622314
80	0.7766857142857143	-191.83157	65.8527	-133.88277	-365.73544	104.9	7816	17.967636346817017
90	0.7425714285714287	-154.75627	73.52956	-13.763139	-251.43018	119.4	9010	20.883076429367065
100	0.7060571428571429	-180.77303	89.77482	-30.001541	-365.87796	127.8	10288	23.716840744018555
110	0.6676857142857143	-168.03287	69.87656	-44.831158	-297.09033	134.3	11631	26.868713855743408
120	0.6317428571428572	-117.719925	79.30638	-5.792548	-206.74245	125.8	12889	29.863097429275513
130	0.5906571428571429	-165.8897	90.071846	-40.708748	-308.24527	143.8	14327	33.28308081626892
140	0.5445714285714286	-141.40683	82.1433	-42.633736	-351.18652	161.3	15940	36.90648436546326
150	0.4988571428571429	-108.30642	66.33879	-2.5096736	-215.97505	160.0	17540	40.68431377410889
160	0.4321142857142857	-84.53819	57.96575	-30.4316	-243.59282	233.6	19876	46.656662940979004
170	0.3349428571428572	-109.302795	50.15457	-45.53686	-193.9736	340.1	23277	56.15165328979492
180	0.1	-121.05664	52.120117	7.127045	-179.37148	853.5	31812	85.01162219047546
190	0.1	-134.30226	9.571014	-114.17244	-145.22276	1000.0	41812	120.45503425598145
200	0.1	-101.72197	48.053417	-2.979758	-158.23546	829.8	50110	148.14736151695251
210	0.1	-57.139606	37.608322	-6.4420037	-133.01518	445.0	54560	162.39679718017578
220	0.1	-54.967	26.821411	-10.847959	-107.33554	283.8	57398	169.51461362838745
230	0.1	-66.69682	18.467203	-26.184195	-90.07872	249.3	59891	175.92385292053223
240	0.1	-63.49635	19.303587	-26.497343	-104.77153	265.5	62546	183.41131067276
250	0.1	-64.41406	19.929098	-35.61261	-96.7883	269.5	65241	190.90397572517395
260	0.1	-58.240944	23.244202	-33.362568	-108.84536	307.7	68318	200.26916193962097
270	0.1	-57.483162	20.871065	-11.004403	-84.89656	262.4	70942	207.7921018600464
280	0.1	-59.275005	16.575094	-34.51222	-82.28614	272.0	73662	215.8042335510254
290	0.1	-54.208088	30.754421	-1.0226912	-101.651505	279.1	76453	224.13748168945312
300	0.1	-47.738857	28.291967	5.3340807	-84.34684	244.9	78902	231.12613129615784
310	0.1	-58.041454	32.56683	-13.136342	-110.59124	257.8	81480	238.67166471481323
320	0.1	-35.56307	23.319052	0.24085021	-71.43112	331.2	84792	248.8142466545105
330	0.1	-59.55758	21.176006	-29.95161	-91.715546	203.0	86822	254.6699686050415
340	0.1	-45.920708	28.511919	12.462845	-79.92535	301.4	89836	264.6304805278778
350	0.1	-52.156273	19.451378	-16.356316	-96.38079	346.1	93297	275.95403504371643
360	0.1	-49.84475	25.661604	-0.36223304	-98.11604	569.0	98987	296.58897972106934
370	0.1	-53.87794	41.767876	13.869106	-107.91998	581.8	104805	317.3908050060272
380	0.1	-61.502617	45.690132	11.871406	-144.62022	458.5	109390	333.0593972206116
390	0.1	-34.22843	32.596222	5.471181	-101.93465	332.6	112716	343.6754608154297
400	0.1	-79.43512	51.970387	-12.426279	-193.68437	509.5	117811	361.8037278652191
410	0.1	-55.800343	25.179253	5.124438	-80.088264	448.2	122293	376.6522650718689
420	0.1	-84.048615	41.34371	-25.482067	-149.30386	771.5	130008	407.05163049697876
430	0.1	-37.42873	56.97911	124.68914	-79.77561	756.5	137573	435.7870752811432
440	0.1	-67.75347	31.718468	-14.944897	-110.069595	685.1	144424	461.2524719238281
450	0.1	-97.96205	69.128365	-7.200469	-209.82393	791.9	152343	490.32652950286865
460	0.1	-92.7997	49.529007	-33.37225	-167.06035	620.3	158546	513.0374898910522
470	0.1	-60.393322	34.414177	-13.28098	-143.4953	540.9	163955	533.1827700138092
480	0.1	-107.0615	64.74617	19.498304	-185.52153	801.3	171968	562.0969846248627
490	0.1	-89.483505	33.14114	-46.046818	-150.97136	628.4	178252	583.9519007205963
500	0.1	-93.441826	36.935665	-12.520419	-161.58253	562.0	183872	603.2633800506592
510	0.1	-65.38783	76.39862	19.474888	-202.23894	447.1	188343	617.3628318309784
520	0.1	-43.42118	42.286453	33.456863	-114.09247	481.3	193156	635.5073091983795
530	0.1	-48.558025	73.51781	18.651999	-240.92859	509.8	198254	653.086784362793
540	0.1	-81.487274	49.266193	15.782648	-150.95738	746.3	205717	680.4086887836456
