Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
840	-71.20841	40.1191	16.509964	-123.000465	214.7	285286	11.79999999999999	841.2121675014496
850	-59.861034	144.99869	178.97162	-307.05853	280.9	288095	11.79999999999999	849.7061789035797
860	-65.22582	38.46652	0.14063935	-101.83737	131.9	289414	11.79999999999999	853.3752205371857
870	-54.894978	70.97523	5.455629	-238.13759	242.2	291836	11.99999999999999	861.5542380809784
880	-71.67659	27.081198	-2.0448587	-94.305176	120.3	293039	11.99999999999999	864.4442212581635
890	-47.463394	33.015514	4.080208	-102.43769	153.1	294570	11.99999999999999	868.0604379177094
900	-40.04667	88.228714	207.89299	-134.56941	149.4	296064	12.199999999999989	872.5486807823181
910	-73.53515	54.69629	19.916111	-149.102	128.5	297349	12.199999999999989	875.637862443924
920	-52.398293	84.7796	182.6705	-106.12055	130.1	298650	12.199999999999989	878.7966411113739
930	-57.511677	34.707016	1.7867582	-104.00622	112.4	299774	12.199999999999989	881.4204385280609
940	-70.22226	32.183712	-9.520545	-112.86041	214.8	301922	12.399999999999988	889.014438867569
950	-79.85333	29.319473	-12.721047	-130.67854	120.7	303129	12.399999999999988	891.9023580551147
960	-50.133	37.557747	13.656115	-96.36154	132.1	304450	12.399999999999988	895.0823035240173
970	-58.11753	30.844345	-12.112699	-108.65475	109.3	305543	12.599999999999987	898.5122933387756
980	-45.412075	79.52125	138.9438	-104.396935	162.9	307172	12.599999999999987	903.9476532936096
990	-59.907692	95.419174	210.82146	-136.6853	130.2	308474	12.599999999999987	907.2456080913544
1000	-65.21479	44.26087	13.97422	-120.23834	127.5	309749	12.799999999999986	911.075968503952
1010	-50.68935	86.375755	185.05772	-131.54173	123.1	310980	12.999999999999986	914.6591200828552
1020	-76.455215	40.39407	-3.3387783	-162.12088	115.9	312139	12.999999999999986	917.5343325138092
1030	-79.52003	37.148964	-8.946699	-118.63192	120.2	313341	12.999999999999986	920.4250657558441
