Episodes	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Current bonus	Time
10	-327.656	327.66815	59.67214	-1254.6316	106.8	1067	0.2	2.189023017883301
20	-294.49606	181.71701	48.435833	-576.4152	386.2	4929	0.2	14.054086923599243
30	-299.819	128.74826	-165.06154	-558.17413	226.2	7191	0.4	22.136343240737915
40	-272.16794	181.6731	38.583126	-564.71027	163.3	8824	0.4	27.029603004455566
50	-338.83334	137.26897	-160.63664	-684.46533	526.8	14092	0.6000000000000001	42.847845792770386
60	-171.51422	70.31923	-83.64685	-329.2839	813.2	22224	1.0	68.70870733261108
70	-115.84349	48.562325	-44.503353	-214.30125	813.2	30356	1.4	93.607577085495
80	-117.48155	74.36113	39.96431	-256.02933	822.0	38576	1.5999999999999999	121.92001557350159
90	-116.54331	62.354492	-5.5802627	-257.22305	920.6	47782	1.9999999999999998	153.46275115013123
100	-131.43341	79.37185	-24.379139	-286.27856	897.3	56755	2.4	183.0808446407318
110	-101.68309	93.96312	85.72922	-189.85165	629.6	63051	2.6	201.66004824638367
120	-120.937706	101.79322	68.44383	-352.93695	768.3	70734	3.0000000000000004	227.87097191810608
130	-22.91062	121.23622	111.30756	-331.82718	654.2	77276	3.2000000000000006	250.6624231338501
140	-42.835697	103.00989	161.45767	-194.9737	629.6	83572	3.400000000000001	271.87380504608154
150	-10.815308	101.358925	132.55219	-188.22632	702.2	90594	3.800000000000001	298.0038495063782
160	-94.89018	114.9489	136.09314	-241.24031	605.5	96649	4.000000000000001	318.81259989738464
170	-12.210001	115.19451	147.70605	-197.08398	407.6	100725	4.200000000000001	331.91421461105347
180	64.040985	94.58253	166.60332	-80.054436	522.7	105952	4.400000000000001	348.4763162136078
190	26.23489	82.93368	134.19069	-75.60748	365.0	109602	4.400000000000001	359.88009810447693
200	-35.926777	85.53386	115.96435	-150.90462	322.2	112824	4.600000000000001	369.8876175880432
210	42.196674	107.23494	170.53952	-75.99807	270.7	115531	4.800000000000002	378.1266312599182
220	-28.921524	122.445465	154.0987	-338.132	378.5	119316	4.800000000000002	389.8399701118469
230	22.7496	94.33824	180.39987	-70.55913	342.3	122739	5.000000000000002	400.29485416412354
240	57.700836	96.538925	161.87547	-91.540955	421.5	126954	5.200000000000002	412.7649109363556
250	42.804558	99.04284	162.47668	-104.85421	515.8	132112	5.400000000000002	429.2007439136505
260	68.02455	73.043655	161.40472	-35.543797	363.7	135749	5.600000000000002	439.8501305580139
270	39.48815	97.65786	159.08408	-106.616104	657.3	142322	5.8000000000000025	462.60520672798157
280	-5.849519	109.689186	152.8779	-255.09679	293.5	145257	6.000000000000003	471.3061909675598
290	87.84898	84.93551	175.58237	-66.90509	424.9	149506	6.000000000000003	484.3222930431366
300	60.25765	102.18912	171.99025	-116.52298	497.3	154479	6.200000000000003	499.83693647384644
310	12.229915	84.42798	195.12625	-112.69297	462.8	159107	6.400000000000003	514.903135061264
320	19.500431	89.3146	153.10869	-96.405136	437.6	163483	6.600000000000003	528.8856081962585
330	47.373096	109.45606	194.20985	-106.4568	639.8	169881	6.800000000000003	550.3269727230072
340	-2.3517365	105.499214	157.87773	-113.78774	371.1	173592	7.0000000000000036	562.3385150432587
350	-53.14805	74.3785	148.72438	-122.91966	251.8	176110	7.200000000000004	569.9292149543762
360	3.4816144	80.66075	191.90573	-76.884895	384.3	179953	7.200000000000004	581.9037485122681
370	-1.9187495	85.06783	166.09117	-88.08775	353.5	183488	7.400000000000004	593.2668368816376
380	-48.03732	63.46486	127.02793	-102.10581	333.7	186825	7.600000000000004	604.7652995586395
390	-7.776971	112.476715	164.37518	-193.24338	320.9	190034	7.800000000000004	614.3715410232544
400	-26.19421	104.55686	194.88014	-117.2874	174.2	191776	7.800000000000004	618.8438811302185
410	-49.05503	85.25367	195.6466	-130.30188	239.1	194167	7.800000000000004	625.5420672893524
420	-44.5589	98.92519	155.33728	-125.81214	245.5	196622	8.000000000000004	633.3383111953735
430	68.56567	118.58023	202.19759	-110.01658	300.5	199627	8.000000000000004	641.6226298809052
440	75.0841	104.018135	199.4595	-91.23994	406.5	203692	8.200000000000003	653.9748373031616
450	12.082212	107.84483	209.3901	-112.68666	423.6	207928	8.400000000000002	667.4522366523743
460	26.07078	143.20259	248.74103	-120.25401	196.9	209897	8.400000000000002	672.4428889751434
470	-29.812927	125.534615	249.49106	-228.12166	243.4	212331	8.600000000000001	679.9687151908875
480	-49.695168	108.837845	165.13806	-223.97539	229.6	214627	8.600000000000001	686.4271240234375
490	-32.79264	111.285545	155.88074	-208.11823	268.1	217308	8.8	695.111209154129
500	-7.60357	102.16059	192.1297	-104.81032	339.3	220701	9.2	706.1611678600311
510	-32.859276	140.77045	249.28398	-277.2371	232.8	223029	9.2	712.6566383838654
520	-88.534935	107.53914	59.04085	-291.39484	421.2	227241	9.399999999999999	727.0916337966919
530	-10.639647	116.67369	210.64377	-204.50548	334.5	230586	9.599999999999998	739.4153480529785
540	-52.58143	74.233345	150.15613	-121.091934	217.2	232758	9.599999999999998	745.7419149875641
550	-59.344738	37.325706	22.49639	-95.49365	344.9	236207	9.799999999999997	757.885737657547
560	-68.7785	111.08647	183.73431	-253.26456	207.2	238279	9.799999999999997	763.6136629581451
570	-11.890745	128.87596	280.59177	-207.02638	270.9	240988	9.999999999999996	772.1216168403625
580	-4.6719046	126.73466	234.30026	-166.3326	340.2	244390	9.999999999999996	782.3077280521393
590	-49.20275	80.539215	169.6503	-111.36512	168.5	246075	10.199999999999996	787.1485905647278
600	46.125137	115.48365	264.1823	-89.268654	203.9	248114	10.199999999999996	792.8415811061859
610	-8.553913	118.18528	260.11548	-119.904655	211.3	250227	10.399999999999995	799.3041117191315
620	2.5525107	109.46408	218.5124	-109.37393	165.4	251881	10.399999999999995	803.3895921707153
630	-41.13156	91.85977	219.98607	-101.39638	330.0	255181	10.599999999999994	814.2741603851318
640	-67.28588	34.755943	16.118547	-103.8691	192.8	257109	10.599999999999994	819.843234539032
650	-21.455227	118.120445	195.92786	-192.18842	314.8	260257	10.799999999999994	829.9214978218079
660	-64.35167	40.032494	20.22806	-102.96751	212.5	262382	10.799999999999994	836.5471756458282
670	-11.741653	117.554115	232.11722	-141.03706	167.4	264056	10.799999999999994	841.0641093254089
680	-10.876996	84.13895	177.95993	-96.512115	230.6	266362	10.999999999999993	848.9472498893738
690	-46.006207	38.579487	55.478436	-94.97356	107.8	267440	10.999999999999993	851.7337381839752
700	32.1027	93.27544	183.46176	-85.55087	151.5	268955	10.999999999999993	855.5544381141663
710	-73.16908	82.814926	156.64995	-153.77074	187.0	270825	11.199999999999992	862.0988955497742
720	-66.778076	64.44532	109.71591	-142.59479	312.7	273952	11.199999999999992	872.1021559238434
730	-65.61826	79.011856	148.36246	-162.26926	128.6	275238	11.399999999999991	876.1473183631897
740	-34.793705	90.651085	211.14226	-116.31744	126.4	276502	11.399999999999991	879.5671718120575
